,station_name,station_no,site_name,station_latitude,station_longitude,Vert_coord_Loc,TOS_1,BOS_1,TOS_2,BOS_2,TOS_3,BOS_3,TOS_4,BOS_4,TOS_5,BOS_5,TOS_6,BOS_6,TOS_7,BOS_7,TOS_8,BOS_8,Depth_to_Bot_Perf,Depth_to_Top_Perf,Depth_Category,Subbasin_Name,GWREF_DATUM,Web_Station_Name,Well_Depth,geometry
56,UPE07-0036_1,UPE07-0036_1,PRMD,38.227294,-122.456962,,,,,,,,,,,,,,,,,,,,,NAPA-SONOMA VALLEY - SONOMA VALLEY,15.2,,,POINT (6430391.526451471 1844925.9464335595)
44,UPE06-0089_1,UPE06-0089_1,PRMD,38.22729414,-122.4569616,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,15.2,,,POINT (6430391.641618054 1844925.9968414009)
328,Son0390,004N006W01K001M,Sonoma Creek,38.2192,-122.4722,,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),,,,400,POINT (6425998.706725373 1842000.6365863597)
402,Son0465,4901028-002,Sonoma Creek,38.221672,-122.472679,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6425865.7696301015 1842901.6037862103)
401,Son0464,4901028-001,Sonoma Creek,38.222369,-122.472535,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6425908.460578716 1843155.2220584978)
209,Son0251,381322122280201,Sonoma Creek,38.22294444,-122.4674167,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,60.0,,180,POINT (6427380.000403222 1843357.187236377)
73,UPE08-0082_1,UPE08-0082_1,PRMD,38.22486834820406,-122.47165639623915,,,,,,,,,,,,,,,,,,600.0,100.0,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,87.70590100438964,,610.0,POINT (6426165.603797984 1844064.1236168803)
74,UPE08-0082_2,UPE08-0082_2,PRMD,38.22486834820406,-122.47165639623915,,,,,,,,,,,,,,,,,,600.0,100.0,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,87.70590100438964,,610.0,POINT (6426165.603797984 1844064.1236168803)
103,PLP14-0012_1,PLP14-0012_1,PRMD,38.230953,-122.47748,,,,,,,,,,,,,,,,,,,,Other,,118.27639509685356,,,POINT (6424504.215202822 1846288.7582386658)
416,Son0479,4901151-001,Sonoma Creek,38.230962,-122.477456,,,,,,,,,,,,,,,,,,,,Other,,,,,POINT (6424511.126675939 1846291.9996588086)
440,Son0503,4901361-001,Sonoma Creek,38.236662,-122.464896,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6428129.7392976545 1848349.1311428205)
34,PLP06-0081_1,PLP06-0081_1,PRMD,38.23688336,-122.4635505,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,19.79,,,POINT (6428516.628957796 1848427.7732771933)
434,Son0497,4901275-001,Sonoma Creek,38.227948,-122.457931,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6430114.356921909 1845165.5200958124)
